post_id,platform,post_date,post_time,content_type,post_length,likes,comments,shares,saves,views,reach,impressions,profile_visits,followers,engagement_rate,audience_location,audience_age_group
P0001,YouTube,3/30/2023,11:51,Image,96,4693,25,459,122,46085,44176,44221,252,146,11.71,Kathmandu,45-54
P0002,Twitter,11/15/2023,23:14,Reel,109,2516,136,39,160,9345,27722,29265,341,57,9.2,Barcelona,35-44
P0003,Instagram,8/3/2023,13:17,Story,159,1432,165,112,66,25475,20449,21683,336,30,7.88,Rasuwa,18-24
P0004,Twitter,9/13/2023,19:45,Video,258,613,53,32,1,1251,36167,38250,309,112,1.82,Rasuwa,35-44
P0005,YouTube,3/11/2023,9:38,Reel,208,1418,263,6,47,19060,9999,10628,294,107,15.87,Pokhara,35-44
P0006,Instagram,7/16/2023,2:17,Video,110,3420,619,112,4,49921,38627,41031,273,48,10.12,Rasuwa,35-44
P0007,TikTok,2/5/2023,11:52,Story,245,3508,83,332,227,20801,42583,45471,289,87,8.63,Kathmandu,35-44
P0008,Twitter,8/21/2023,18:48,Text,162,1650,281,81,87,47070,40498,43536,110,86,4.62,Kathmandu,45-54
P0009,YouTube,12/25/2023,15:55,Reel,157,229,17,16,14,7139,13546,14871,76,64,1.76,Rasuwa,35-44
P0010,TikTok,1/5/2023,16:18,Reel,76,1182,179,36,24,12702,7255,7806,17,123,17.9,Barcelona,25-34
P0011,Twitter,4/17/2023,0:51,Reel,143,99,17,9,0,5677,31112,31253,13,129,0.4,Kathmandu,18-24
P0012,Twitter,9/24/2023,3:33,Story,227,1645,247,159,80,47155,22625,23009,255,26,8.91,Pokhara,25-34
P0013,TikTok,12/13/2023,16:53,Text,78,147,23,9,2,52851,2236,2301,195,39,7.78,Real Madrid,18-24
P0014,Instagram,6/12/2023,4:07,Image,179,846,105,38,50,34852,39400,39840,238,83,2.48,Pokhara,25-34
P0015,Twitter,6/1/2023,0:39,Story,228,695,44,65,45,19322,13212,14128,194,106,5.69,Kathmandu,25-34
P0016,Instagram,12/20/2023,6:15,Story,86,5429,159,265,231,30863,26568,28336,206,46,20.66,Kathmandu,18-24
P0017,TikTok,3/17/2023,1:39,Text,257,849,153,81,52,19069,27899,29586,200,77,3.66,Pokhara,18-24
P0018,Twitter,3/15/2023,17:59,Image,57,1921,356,26,73,20901,41541,44919,156,127,5.13,Barcelona,35-44
P0019,YouTube,7/6/2023,12:49,Text,85,208,31,19,10,48223,44562,46778,239,85,0.55,Kathmandu,45-54
P0020,TikTok,9/27/2023,5:26,Reel,146,8484,141,28,300,29833,43511,45022,119,135,19.22,Pokhara,45-54
P0021,Instagram,1/1/2024,19:53,Image,117,4519,25,399,28,26105,30434,31121,329,38,15.88,Real Madrid,18-24
P0022,YouTube,2/5/2023,20:06,Video,103,1372,146,78,58,41168,6559,7127,299,137,22.39,Kathmandu,35-44
P0023,YouTube,3/4/2023,3:07,Text,227,6518,770,239,77,50054,35114,38217,37,142,19.7,Rasuwa,25-34
P0024,Instagram,8/7/2023,13:21,Reel,227,53,10,5,3,20716,1286,1309,248,11,5.19,Pokhara,35-44
P0025,YouTube,1/25/2023,15:18,Video,230,7278,511,709,225,9025,45414,47050,49,144,18.06,Pokhara,18-24
P0026,YouTube,9/24/2023,22:25,Video,233,5890,912,375,364,41532,30444,33637,298,32,21.34,Barcelona,18-24
P0027,Instagram,11/5/2023,18:38,Text,169,2852,490,105,31,27199,23226,24184,215,132,14.25,Pokhara,45-54
P0028,YouTube,11/2/2023,7:07,Story,93,5753,290,264,337,20381,31066,31252,274,57,20.18,Rasuwa,35-44
P0029,TikTok,7/30/2023,2:08,Text,143,1308,192,116,48,46235,7655,7727,211,30,20.91,Kathmandu,45-54
P0030,TikTok,1/30/2023,10:18,Story,176,127,24,11,6,3710,1131,1251,134,31,12.95,Kathmandu,35-44
P0031,YouTube,10/2/2023,18:38,Text,137,3641,567,161,232,28656,38384,42576,16,128,10.26,Pokhara,45-54
P0032,YouTube,12/2/2023,11:37,Story,51,406,76,16,22,36058,15022,16162,107,92,3.08,Real Madrid,18-24
P0033,YouTube,3/8/2023,7:04,Text,230,317,35,22,11,50771,8741,9238,309,18,4.05,Rasuwa,35-44
P0034,Instagram,3/9/2023,3:07,Text,111,788,35,28,25,49245,23500,24962,143,34,3.41,Pokhara,45-54
P0035,TikTok,10/14/2023,23:52,Text,256,601,33,59,18,4175,33421,34225,312,77,2.02,Real Madrid,25-34
P0036,Twitter,5/26/2023,21:55,Video,96,1349,41,20,24,11031,9165,9365,139,49,15.06,Barcelona,45-54
P0037,Twitter,2/25/2023,18:56,Story,219,6074,369,12,120,9919,44807,47583,274,147,13.57,Kathmandu,35-44
P0038,Instagram,7/22/2023,12:45,Video,245,1025,157,12,23,57727,15463,16710,200,87,7.15,Pokhara,35-44
P0039,Twitter,9/25/2023,2:53,Video,174,3630,286,24,148,57613,18846,18912,128,36,20.83,Real Madrid,35-44
P0040,Instagram,6/10/2023,8:11,Story,72,1146,158,28,6,13337,9493,10323,209,118,12.9,Pokhara,45-54
P0041,YouTube,1/26/2023,16:51,Story,117,1534,294,89,94,46021,35605,37474,296,145,5.12,Barcelona,25-34
